id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
,Verbs - Present & Past Tenses,34,deep_dive,PROMISE /prómis/ PROMETER,Intermediate,,"To say you will do something \br regular \br promise; promised; promised \br /prómis/; /prómist/; /prómist/",,,,,,,,I promise to return. \br He promised a gift. \br She has promised to help.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,PROVE /prúv/ PROVAR,Intermediate,,"To show that something is true \br irregular \br prove; proved; proved/proven \br /prúv/; /prúvd/; /prúvd/ or /prúven/",,,,,,,,Evidence proves guilt. \br He proved his point. \br The theory has been proven.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,REGRET /regrét/ ARREPENDER-SE,Intermediate,,"To feel sorry about something \br regular \br regret; regretted; regretted \br /regrét/; /regrétid/; /regrétid/",,,,,,,,I regret my words. \br He regretted the decision. \br She has regretted it ever since.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,RELEASE /rilíis/ LANÇAR,Intermediate,,"To set free or make available \br regular \br release; released; released \br /rilíis/; /rilíist/; /rilíist/",,,,,,,,The movie releases Friday. \br He released the bird. \br The prisoner has been released.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,RING /ríng/ TOCAR (sininho),Intermediate,,"To make a bell sound or call \br irregular \br ring; rang; rung \br /ríng/; /rêng/; /rãng/",,,,,,,,The phone rings. \br He rang the bell. \br She has rung twice.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SAIL /sêil/ NAVEGAR,Intermediate,,"To travel on water by boat \br regular \br sail; sailed; sailed \br /sêil/; /sêild/; /sêild/",,,,,,,,Ships sail across the ocean. \br They sailed to the island. \br He has sailed around the world.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SINK /sínk/ AFUNDAR,Intermediate,,"To go down below the surface \br irregular \br sink; sank; sunk \br /sínk/; /sêngk/; /sãnk/",,,,,,,,Rocks sink. \br The ship sank. \br The treasure has sunk.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SOUND /sáund/ SOAR,Intermediate,,"To seem or make noise \br regular \br sound; sounded; sounded \br /sáund/; /sáundid/; /sáundid/",,,,,,,,That sounds good. \br The alarm sounded. \br The music has sounded strange.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SPELL /spél/ SOBRENATURAL,Intermediate,,"To write or name letters of a word \br regular or irregular \br spell; spelled/spelt; spelled/spelt \br /spél/; /spéld/ or /spélt/; /spéld/ or /spélt/",,,,,,,,How do you spell your name? \br He spelled it wrong. \br She has spelt it correctly.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SPOIL /spóil/ ESTREGAR,Intermediate,,"To ruin or make bad \br regular or irregular \br spoil; spoiled/spoilt; spoiled/spoilt \br /spóil/; /spóild/ or /spóilt/; /spóild/ or /spóilt/",,,,,,,,Don't spoil the surprise. \br He spoiled the ending. \br The milk has spoilt.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,STEAL /stíil/ ROUBAR,Intermediate,,"To take without permission \br irregular \br steal; stole; stolen \br /stíil/; /stôul/; /stôulen/",,,,,,,,Thieves steal valuables. \br He stole a car. \br She has stolen my heart.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,STICK /stík/ COLAR,Intermediate,,"To attach or become fixed \br irregular \br stick; stuck; stuck \br /stík/; /stãk/; /stãk/",,,,,,,,Glue sticks to paper. \br He stuck the poster on the wall. \br The key has stuck in the lock.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,STRIKE /stráik/ GREVE,Intermediate,,"To hit or stop work protesting \br irregular \br strike; struck; struck/stricken \br /stráik/; /strãk/; /strãk/ or /stríken/",,,,,,,,Lightning strikes trees. \br He struck the table. \br The workers have struck for better pay.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,SWIM /suím/ NADAR,Intermediate,,"To move through water \br irregular \br swim; swam; swum \br /suím/; /suêm/; /suãm/",,,,,,,,Fish swim. \br He swam across the lake. \br She has swum every day.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,TREAT /tríit/ TRATAR,Intermediate,,"To behave towards someone or give medical care \br regular \br treat; treated; treated \br /tríit/; /tríitid/; /tríitid/",,,,,,,,Treat others with respect. \br He treated her badly. \br The doctor has treated many patients.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,TRUST /trãst/ CONFIAR,Intermediate,,"To believe someone is honest \br regular \br trust; trusted; trusted \br /trãst/; /trãstid/; /trãstid/",,,,,,,,I trust my friends. \br She trusted him completely. \br He has never trusted anyone.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,UNDERGO /ander gôu/ SUBMETER-SE,Intermediate,,"To experience something unpleasant \br irregular \br undergo; underwent; undergone \br /andergôu/; /anderuént/; /andergón/",,,,,,,,He undergoes surgery. \br She underwent chemotherapy. \br They have undergone huge changes.,,,,,
,Verbs - Present & Past Tenses,34,deep_dive,WITHDRAW /uidrôu/ RETIRAR,Intermediate,,"To take money out of a bank or move back \br irregular \br withdraw; withdrew; withdrawn \br /uidrôu/; /uidrú/; /uidrón/",,,,,,,,I withdraw cash. \br He withdrew from the race. \br She has withdrawn her support.,,,,,
