id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip
840,"Daily Life Topics",35,gap_fill,"Construction - Hard hat area",Beginner,,,"Hard hat ______ area.",,,,,required,,"Hard hat required beyond this point. Violators will be removed from site.",,,,,
841,"Daily Life Topics",35,gap_fill,"Construction - Tool Belt",Beginner,,,"Every carpenter needs a tool ______.",,,,,belt,,"He reached into his tool belt and pulled out a tape measure.",,,,,
842,"Daily Life Topics",35,gap_fill,"Construction - Blueprint symbol",Intermediate,,,"The ______ symbol on the blueprint shows where the electrical outlet goes.",,,,,circle,,"The architect put a circle here. That means a floor outlet, not a wall outlet.",,,,,
843,"Daily Life Topics",35,gap_fill,"Bicycle - Flat Tire",Beginner,,,"I have a ______ tire.",,,,,flat,,"I ran over a nail and got a flat tire five miles from home.",,,,,
844,"Daily Life Topics",35,gap_fill,"Bicycle - Bell",Beginner,,,"Use your bell to ______ pedestrians.",,,,,alert,,"I rang my bell and said 'Passing on your left.'",,,,,
845,"Daily Life Topics",35,gap_fill,"Cooking - Meat Doneness",Intermediate,,,"Cook the steak to ______ rare for a pink center.",,,,,medium,,"I'll have the steak medium rare. If it's well done I'll send it back.",,,,,
846,"Daily Life Topics",35,gap_fill,"Cooking - Oven Preheat",Beginner,,,"Always ______ the oven before putting the food in.",,,,,preheat,,"The cake failed because I didn't preheat the oven. The batter sat too long.",,,,,
847,"Daily Life Topics",35,gap_fill,"Restaurant - Table Turn",Intermediate,,,"The server wants to ______ the table quickly so the next guests can sit.",,,,,turn,,"We only had 45 minutes for dinner because they needed to flip the table for a 7 PM reservation.",,,,,
848,"Daily Life Topics",35,gap_fill,"Restaurant - Well done steak",Beginner,,,"If you order a steak well ______ it will be cooked through with no pink.",,,,,done,,"I know it's a waste, but I like my steak well done with ketchup. Don't judge me.",,,,,
1074,"Daily Life Topics",35,image_description,"LIE DOWN",Beginner,,"\bDEITAR-SE\b\br
To assume a reclining position.\br
Everytime my dad lies down to read, he falls asleep.",,,,,,https://flashcards.my-board.org/uploads/images/6a220b1907279_Screenshot_20260604_201752-1.png,,,,,,,
