id,set,set_id,type,title,level,question_text,definition,sentence,opt1,opt2,opt3,opt4,correct_answer,explanation,example1,example2,example3,example4,usage1,tip,image_url,description,audio_url,prompt,transcript,front_fields
,FL Driver Study,,deep_dive,Financial Responsibility Law after DUI,Advanced,,"After a DUI conviction, you must carry higher insurance limits: $100.000 Bodily Injury Liability per person, $300.000 per crash, and $50.000 PDL for 3 years.",,,,,,,These higher limits apply regardless of fault in a future crash.,Example: You cause a crash with injuries after a DUI. Your insurance must cover at least $100.000 per injured person.,,,,Failure to provide proof of these higher limits results in suspension of your driver license and vehicle registration for up to 3 years.\br[PT] A não apresentação de comprovante desses limites mais altos resulta na suspensão de sua carteira de motorista e registro do veículo por até 3 anos.,,,,,,title,
,FL Driver Study,,deep_dive,Equipment Standards – Windshields and Windows,Intermediate,,"Windshield must be safety glass, no stickers except required by law. Side windows may not reflect more than 25% of light; rear window not more than 35%. No mirrored appearance.",,,,,,,Tinted windows that look like a mirror are illegal.,Example: Aftermarket tint that gives a chrome or mirrored finish is prohibited.,,,,"Law enforcement may stop a vehicle solely for window tint violations. Medical exemptions are available but require documentation.\br[PT] A polícia pode parar um veículo apenas por violações de película. Isenções médicas estão disponíveis, mas exigem documentação.",,,,,,title,
,FL Driver Study,,deep_dive,ABS vs Conventional Brakes,Intermediate,,"ABS (Anti‑lock Brake System): press hard, hold steady, and steer. Do not pump. Conventional brakes: pump the brake pedal rapidly to avoid lock‑up.",,,,,,,"In an emergency stop, an ABS driver keeps constant pressure; a conventional driver pumps.",Example: You have ABS and need to stop suddenly on a wet road. Press the brake firmly and keep pressing – you will feel a pulsing. That is normal.,"Example: Without ABS, pump the brake pedal about three times per second.",,,Check your owner’s manual or look for the ABS light on the dashboard (lights up briefly when you start the engine) to know which system you have.\br[PT] Verifique o manual do proprietário ou procure a luz ABS no painel (acende brevemente ao dar partida) para saber qual sistema você tem.,,,,,,title,
,FL Driver Study,,deep_dive,Parking on Hills – Complete Rules,Intermediate,,Downhill with curb → turn wheels toward curb. Uphill with curb → turn wheels away from curb. Uphill without curb → turn wheels to the right. Set parking brake.,,,,,,,Automatic transmission: shift to Park. Manual: Reverse (downhill) or First (uphill).,Example: Downhill with curb: wheels right (toward curb).,Example: Uphill without curb: wheels right so car rolls off road.,,,Always take the keys out of the vehicle before leaving. Florida law requires it.\br[PT] Sempre retire as chaves do veículo antes de sair. A lei da Flórida exige isso.,,,,,,title,
,FL Driver Study,,deep_dive,School Bus Stop Law – Divided Highways,Intermediate,,"On a highway divided by a raised barrier or unpaved median at least 5 feet wide, only traffic going the same direction must stop. Painted lines are NOT barriers.",,,,,,,"If there is only a painted median or double yellow lines, all traffic must stop.",Example: A four‑lane road with a grass median. Bus stops on opposite side → you do not stop.,Example: A road with a raised concrete barrier. You are going the same direction as the bus – you must stop.,,,"Even when not required to stop, always be alert. Children may run across unexpectedly.\br[PT] Mesmo quando não for obrigatório parar, mantenha a atenção. As crianças podem atravessar inesperadamente.",uploads/images/florida-signs/divided-highway.jpg,,,,,"title,image_url",
,FL Driver Study,,usage_cases,Following a Fire Truck,Intermediate,,It is illegal to follow a fire truck responding to an emergency closer than 500 feet.,,,,,,,"This also applies to any emergency vehicle (ambulance, police) with activated lights.",Example: You see a fire engine with lights and sirens. Stay at least 500 feet behind.,,,,The same 500‑foot rule applies when following any emergency vehicle. Violation can result in a citation and points.\br[PT] A mesma regra de 500 pés se aplica ao seguir qualquer veículo de emergência. A violação pode resultar em multa e pontos.,,,,,,title,
,FL Driver Study,,deep_dive,Three Crashes in Three Years Law,Advanced,,"If you are convicted of a third traffic offense causing a crash within 36 months, you must complete a 12‑hour Advanced Driver Improvement course, 4 hours of behind‑the‑wheel training, and pass an extended driving test.",,,,,,,The course must be FLHSMV‑approved.,Example: Three at‑fault crashes in 3 years → mandatory ADI course and retesting.,,,,Failure to complete the requirements within 90 days cancels your driver license.\br[PT] O não cumprimento dos requisitos em até 90 dias cancela sua carteira de motorista.,,,,,,title,
,FL Driver Study,,usage_cases,Hand Signals for Turning,Beginner,,Left turn: left arm straight out. Right turn: left arm up (or bicyclists may use right arm out). Stop/slow: left arm down.,,,,,,,Hand signals are required when your vehicle’s turn signals or brake lights are not working.,Example: Your turn signals fail. You use left arm straight out to indicate a left turn.,Example: You need to slow down suddenly but brake lights are out – left arm down.,,,Bicyclists may signal a right turn by extending the right arm horizontally. This is an alternative to the left‑arm‑up signal.\br[PT] Ciclistas podem sinalizar uma conversão à direita estendendo o braço direito horizontalmente. Esta é uma alternativa ao sinal de braço esquerdo para cima.,uploads/images/florida-signs/hand-signals.jpg,,,,,"title,image_url",
,FL Driver Study,,deep_dive,HOV Lane Rules,Intermediate,,High Occupancy Vehicle lanes require 2+ occupants or a low‑emission vehicle decal. Enter and exit only at designated points. Diamond symbols mark the lane.,,,,,,,LEVs (low‑emission vehicles) need FLHSMV Form 83027 and a decal to use HOV lanes alone.,Example: You drive alone in an HOV lane without a decal → citation.,,,,HOV lanes are usually separated by a striped buffer zone. Crossing the buffer outside of designated points is illegal.\br[PT] Faixas HOV geralmente são separadas por uma zona de amortecimento listrada. Atravessar o buffer fora dos pontos designados é ilegal.,,,,,,title,
,FL Driver Study,,usage_cases,Red Reflectors on Lane Lines,Beginner,,"Red reflectors always mean you are facing traffic the wrong way. If you see them, turn around immediately.",,,,,,,Red reflectors are placed on lane lines to warn drivers going the wrong direction.,Example: You enter an exit ramp and see red reflectors on the edge line → you are going the wrong way. Pull over and turn around.,,,,"If you see red reflectors on the edge lines of a ramp, you are on the wrong side. Do not continue – back up or turn around if safe.\br[PT] Se você vir refletores vermelhos nas linhas de borda de uma rampa, você está no lado errado. Não continue – dê ré ou vire se for seguro.",,,,,,title,
,FL Driver Study,,deep_dive,Roundabout Rules,Intermediate,,Yield to traffic already in the roundabout. Drive counter‑clockwise. Signal before exiting. Do not change lanes inside.,,,,,,,Choose lane before entering: right lane for right turns or straight; left lane for left turns or U‑turns.,Example: You want to go straight. Use the right lane. Signal right when exiting.,Example: You want to make a U‑turn. Use the left lane and stay in the roundabout until you exit.,,,"If you miss your exit, do not stop or back up. Continue around the roundabout again.\br[PT] Se você perder sua saída, não pare nem dê ré. Continue ao redor da rotatória novamente.",uploads/images/florida-signs/roundabout.jpg,,,,,"title,image_url",
,FL Driver Study,,usage_cases,Emergency Braking with ABS,Intermediate,,"With ABS, press the brake pedal firmly and hold it. Do not pump. Steer around obstacles. The system will pump automatically many times per second.",,,,,,,You will feel a pulsing in the pedal. That is normal.,Example: A deer jumps out. You brake hard and hold – ABS lets you steer while braking.,,,,Do not remove pressure from the pedal or pump the brakes; that will disengage the ABS and increase stopping distance.\br[PT] Não remova a pressão do pedal nem bombeie os freios; isso desativará o ABS e aumentará a distância de parada.,,,,,,title,
,FL Driver Study,,deep_dive,Tire Blowout Procedure,Intermediate,,Take your foot off the gas. Do not brake. Grip the wheel firmly. Allow the vehicle to slow gradually. Brake softly when under control. Pull completely off the roadway.,,,,,,,A blowout often feels like a sudden pull to one side. Stay calm.,"Example: A loud bang and the car pulls right. You ease off gas, hold the wheel straight, coast to a stop.",,,,"Never slam on brakes – it can cause a rollover, especially in SUVs and trucks.\br[PT] Nunca pise fundo no freio – isso pode causar um capotamento, especialmente em SUVs e caminhões.",,,,,,title,
,FL Driver Study,,usage_cases,Carbon Monoxide Warning,Beginner,,"Running a car in a closed garage is deadly. Carbon monoxide is odorless and colorless. Even with the garage door open, it can accumulate.",,,,,,,"Symptoms of CO poisoning: headache, dizziness, nausea, confusion.",Example: Warming up your car in the garage with the door closed → risk of fatal poisoning.,,,,"Install a carbon monoxide detector in your home, especially near attached garages. Always pull the car outside before idling.\br[PT] Instale um detector de monóxido de carbono em sua casa, especialmente perto de garagens anexas. Sempre coloque o carro para fora antes de deixá‑lo ligado.",,,,,,title,
,FL Driver Study,,deep_dive,Drowsy Driving – Micro‑sleeps,Intermediate,,"Fatigue slows reaction time and judgment. Micro‑sleeps are brief, involuntary episodes of sleep lasting a few seconds.",,,,,,,"At 60 mph, a 4‑second micro‑sleep means you travel 352 feet without being conscious.",Example: You catch yourself nodding off while driving → pull over and take a 20‑minute nap.,,,,The two main causes of drowsy driving are lack of quality/quantity of sleep and driving during normal sleeping hours. Take a break every 100 miles or 2 hours.\br[PT] As duas principais causas da sonolência ao volante são a falta de qualidade/quantidade de sono e dirigir nos horários normais de sono. Faça uma pausa a cada 100 milhas ou 2 horas.,,,,,,title,
,FL Driver Study,,usage_cases,Driving Under the Influence of Drugs,Intermediate,,"Driving while impaired by any drug – legal prescription, over‑the‑counter, or illegal – is DUI and carries the same penalties as alcohol.",,,,,,,Many medications warn against driving. Check the label.,Example: Taking cold medication that causes drowsiness and then driving → DUI arrest possible.,"Example: Mixing allergy medicine with alcohol can multiply the effects, making one drink feel like several.",,,Always ask your doctor or pharmacist if a new medication will affect your ability to drive.\br[PT] Sempre pergunte ao seu médico ou farmacêutico se um novo medicamento afetará sua capacidade de dirigir.,,,,,,title,
,FL Driver Study,,deep_dive,Littering Penalties,Intermediate,,"Up to 15 pounds: $100 fine. More than 15 pounds: first‑degree misdemeanor, fine up to $1.000, 3 points on driving record, and possible court‑ordered litter pickup.",,,,,,,"Example: Throwing a bag of trash (20 lbs) from your car → $1.000 fine, 3 points.",,,,,Even a cigarette butt is litter and can be fined. The court may also order you to pick up litter along roadways.\br[PT] Até uma bituca de cigarro é lixo e pode ser multada. O tribunal também pode ordenar que você recolha lixo ao longo das estradas.,,,,,,title,
,FL Driver Study,,usage_cases,Basic Driver Improvement Course (BDI),Intermediate,,You may elect to take a BDI course in lieu of points for a non‑criminal moving violation (except speeding 30+ mph over). You also get an 18% reduction in the civil penalty.,,,,,,,Example: You get a ticket for running a red light. You choose BDI → no points on your record.,,,,,"You may make this election only once every 12 months, and no more than 5 times in your lifetime. You must inform the clerk of court within 30 days of the citation.\br[PT] Você pode fazer essa escolha apenas uma vez a cada 12 meses, e no máximo 5 vezes durante a vida. Você deve informar o escrivão do tribunal em até 30 dias da multa.",,,,,,title,
,FL Driver Study,,deep_dive,Advanced Driver Improvement (ADI) Course,Advanced,,"Required if your license is suspended for points, as a habitual traffic offender (non‑DUI), or by court order. Also may be required after a DUI in some cases.",,,,,,,Example: Your license is suspended after 18 points in 18 months. You must complete ADI to reinstate.,,,,,"ADI is a 12‑hour course, more intensive than BDI. It includes group discussions, video, and often a final exam.\br[PT] ADI é um curso de 12 horas, mais intensivo que o BDI. Inclui discussões em grupo, vídeo e frequentemente um exame final.",,,,,,title,
,FL Driver Study,,usage_cases,Vision Standards for Licensing,Intermediate,,20/40 or better in each eye passes without referral. 20/50 or worse requires eye specialist referral. Minimum field of vision is 130 degrees.,,,,,,,Example: You have 20/50 in one eye. You must see an eye specialist before a license is issued.,,,,,"If you need corrective lenses to pass, a “B” restriction will be added. You must wear glasses or contacts every time you drive.\br[PT] Se você precisar de lentes corretivas para passar, uma restrição “B” será adicionada. Você deve usar óculos ou lentes de contato toda vez que dirigir.",,,,,,title,
,FL Driver Study,,deep_dive,Driver License Renewal for Non‑Immigrants,Advanced,,Non‑immigrants must renew in person at a driver license service center. They cannot renew online. Expiration dates may vary and usually align with their I‑94 or visa expiration.,,,,,,,Example: You have a J‑1 visa. Your license expires – you must go to a service center with your immigration documents.,,,,,Check your I‑94 admission record before visiting. Your license cannot be issued beyond your authorized stay.\br[PT] Verifique seu registro de admissão I‑94 antes de visitar. Sua licença não pode ser emitida além do período de permanência autorizado.,,,,,,title,
,FL Driver Study,,usage_cases,Seat Belt Exemptions,Intermediate,,"Exemptions: physician‑certified medical condition, newspaper home delivery employees while delivering, school buses purchased before 12/31/2000, farm equipment, trucks over 26.000 lbs.",,,,,,,Example: A delivery driver for a newspaper does not need to wear a belt while throwing papers.,,,,,"If you have a medical exemption, keep the certification in your vehicle. Law enforcement may ask for it.\br[PT] Se você tiver uma isenção médica, mantenha a certificação em seu veículo. A polícia pode solicitá‑la.",,,,,,title,
,FL Driver Study,,deep_dive,Child Car Seat Requirements,Intermediate,,Under 4 years → separate child safety seat. Ages 4‑5 → safety seat or booster seat. Children under 13 should be in the rear seat. Never place a rear‑facing seat in front of an airbag.,,,,,,,"Example: A 3‑year‑old must be in a child safety seat, not just a booster.",,,,,The driver is charged if any passenger under 18 is not properly restrained. This includes children in car seats.\br[PT] O motorista é multado se algum passageiro menor de 18 não estiver devidamente preso. Isso inclui crianças em cadeirinhas.,,,,,,title,
,FL Driver Study,,usage_cases,When You May Pass on the Right,Intermediate,,"Passing on the right is legal only when there are two or more lanes moving in the same direction, or when the vehicle ahead is making a left turn and you have a paved lane to pass.",,,,,,,"Example: On a 4‑lane highway, a car in the left lane is turning left. You may pass on the right in the right lane.",,,,,Never pass on the right on the shoulder – it is illegal and dangerous. Also never pass a vehicle that is already in a right‑turn lane.\br[PT] Nunca ultrapasse pela direita no acostamento – é ilegal e perigoso. Também nunca ultrapasse um veículo que já está em uma faixa de conversão à direita.,,,,,,title,
,FL Driver Study,,deep_dive,Drawbridge Signals,Advanced,,"Red light → stop at marked line (bridge is open). Yellow light → about to turn red, stop if safe. Flashing yellow → bridge in operation, slow down and prepare to stop. Green → proceed with caution.",,,,,,,Example: You approach a drawbridge and see a flashing yellow light → slow down and be ready to stop.,,,,,Never drive around or under a gate – it is illegal and extremely dangerous. The bridge may open at any time.\br[PT] Nunca dirija ao redor ou por baixo de uma cancela – é ilegal e extremamente perigoso. A ponte pode abrir a qualquer momento.,,,,,,title,
,FL Driver Study,,usage_cases,Pedestrian Hybrid Beacon,Intermediate,,"Dark → go if clear. Flashing yellow → pedestrian has pushed button, slow down. Steady yellow → prepare to stop. Steady red → stop for pedestrian. Flashing red → proceed with caution if no pedestrian.",,,,,,,Example: You see a flashing yellow beacon. A pedestrian may be waiting. Slow down.,,,,,These beacons are often at mid‑block crosswalks on high‑speed roads. Always be prepared to stop.\br[PT] Esses faróis geralmente estão em travessias de pedestres no meio do quarteirão em estradas de alta velocidade. Sempre esteja preparado para parar.,,,,,,title,
,FL Driver Study,,deep_dive,School Zone Speed Detection Cameras (HB 657),Intermediate,,Counties or municipalities may install camera‑enforced speed limit devices in school zones. The registered owner is subject to a $100 fine. Signs must warn drivers of camera enforcement.,,,,,,,Example: You drive 35 mph in a 20 mph school zone with camera signs → $100 ticket in the mail.,,,,,"Fines are doubled for speeding in school zones even without cameras. Camera‑enforced fines are not doubled but still $100.\br[PT] As multas são duplicadas por excesso de velocidade em zonas escolares, mesmo sem câmeras. As multas com câmeras não são duplicadas, mas ainda são $100.",,,,,,title,
,FL Driver Study,,usage_cases,Golf Cart Operation (HB 949),Intermediate,,"Under 18 → must have a learner’s or driver license. 18+ → must have a government‑issued photo ID. Only allowed on designated roads. Unless local ordinance allows, sunrise to sunset only.",,,,,,,Example: A 17‑year‑old with a learner’s license may drive a golf cart on a designated road.,,,,,Child safety seats should not be used on golf carts – they are not crash‑tested for LSVs. Always obey all traffic laws.\br[PT] Cadeirinhas não devem ser usadas em carrinhos de golfe – elas não são testadas para VLV. Sempre obedeça a todas as leis de trânsito.,,,,,,title,
,FL Driver Study,,deep_dive,Motorcycle Helmet Law,Intermediate,,Riders under 21 must wear a helmet. Riders 21+ may ride without a helmet only if they carry at least $10.000 in medical insurance benefits.,,,,,,,Example: A 25‑year‑old rider with no insurance is stopped without a helmet → citation.,,,,,"Even if legal, helmets save lives. The $10.000 medical insurance must specifically cover motorcycle‑related injuries.\br[PT] Mesmo que seja legal, os capacetes salvam vidas. O seguro médico de $10.000 deve cobrir especificamente lesões relacionadas a motocicleta.",,,,,,title,
,FL Driver Study,,usage_cases,Bicycle Lighting Requirements,Intermediate,,"Between sunset and sunrise: front white light visible from 500 feet, rear red reflector and red light visible from 600 feet.",,,,,,,Example: You ride your bike at night with only a front light → illegal. You need rear red light.,,,,,Also wear reflective clothing. Helmets required for riders and passengers under 16. A white light on the front and red light on the rear are mandatory.\br[PT] Use também roupas reflexivas. Capacete obrigatório para condutores e passageiros menores de 16. Luz branca na frente e luz vermelha atrás são obrigatórias.,,,,,,title,
,FL Driver Study,,deep_dive,Commercial Vehicle “No Zones”,Intermediate,,"Large blind spots in front, rear, and both sides of trucks and buses. If you cannot see the driver’s face in their mirror, they cannot see you.",,,,,,,Example: You are driving directly behind a semi‑trailer. The driver cannot see you in their mirrors – you are in the rear No Zone.,,,,,Pass quickly on the left side and avoid lingering. Never cut in front of a truck – they need extra stopping distance.\br[PT] Ultrapasse rapidamente pelo lado esquerdo e evite permanecer na zona cega. Nunca entre na frente de um caminhão – eles precisam de distância extra de parada.,,,,,,title,
,FL Driver Study,,usage_cases,Emergency Notification System (ENS) at Railroad Crossings,Intermediate,,"Every highway‑rail grade crossing has a blue sign with an emergency number and crossing ID. If something is blocking the tracks or the signals malfunction, call that number.",,,,,,,"Example: Your car stalls on the tracks. After getting everyone out, call the number on the blue sign.",,,,,Provide the crossing ID number to responders. Do not call 911 for a non‑emergency obstruction; use the ENS number.\br[PT] Forneça o número de identificação da passagem aos atendentes. Não ligue para 911 para uma obstrução não emergencial; use o número do ENS.,,,,,,title,
,FL Driver Study,,deep_dive,Submerged Vehicle Escape,Advanced,,"A vehicle floats for only 30‑60 seconds. Unbuckle your belt. Roll down the window before the car sinks. If you cannot, kick out a side window. Do not call 911 until you are out.",,,,,,,Example: Your car goes into a pond. You open the window and climb out before it sinks.,,,,,"Keep an escape tool (window breaker) within reach, such as taped to the sun visor or in the center console.\br[PT] Mantenha uma ferramenta de escape (quebra‑vidro) ao alcance, como presa ao para‑sol ou no console central.",,,,,,title,
,FL Driver Study,,usage_cases,Right Wheels Off Pavement Recovery,Intermediate,,"Take foot off gas. Hold the wheel firmly. Brake lightly. Wait until the road is clear, then turn back onto the pavement at a slow speed, signaling.",,,,,,,"Example: Your right wheels drop onto the gravel shoulder. You ease off gas, hold wheel straight, then gently steer back on.",,,,,Do not jerk the wheel – you could overcorrect and crash. Overcorrection is a leading cause of rollovers.\br[PT] Não puxe o volante bruscamente – você pode corrigir em excesso e capotar. A correção excessiva é uma das principais causas de capotamentos.,,,,,,title,
,FL Driver Study,,deep_dive,Wet Brakes After Driving Through Water,Intermediate,,"After driving through deep water, brakes may become wet and pull to one side or not hold. Dry them by driving slowly in low gear and gently applying the brakes.",,,,,,,"Example: You go through a puddle. When you brake, the car pulls right. Drive slowly and tap the brakes until they work normally.",,,,,"Never drive through flooded roads. Six inches of water can cause loss of control; one foot can float many vehicles. Turn around, don’t drown.\br[PT] Nunca dirija em estradas alagadas. Seis polegadas de água podem causar perda de controle; um pé pode flutuar muitos veículos. Vire, não se afogue.",,,,,,title,
